circ_mv,close,float_share,free_share,index,level_0,pb,pe,pe_ttm,ps,ps_ttm,total_mv,total_share,trade_date,ts_code,turnover_rate,turnover_rate_f,volume_ratio
424807.8823,7.87,53978.1299,37193.4516,2480,,2.0905,22.564,14.0688,2.3248,2.1672,973600.1586,123710.3124,20081017,000012.SZ,1.0218,1.483,0.66
338442.8745,6.27,53978.1299,37193.4516,2465,,1.6286,17.9766,11.3676,1.8521,1.7590000000000001,775663.6587,123710.3124,20081107,000012.SZ,0.8458,1.2275,0.8
1466917.4109,11.26,130276.8571,108016.5604,895,,3.1354,26.7478,28.0598,3.3172,3.2909,2336827.8406,207533.556,20150707,000012.SZ,5.5512,6.6952,0.87
1515119.8481,11.63,130276.8571,105359.3004,880,,3.2385,27.6267,28.9818,3.4262,3.3991,2413615.2563,207533.556,20150728,000012.SZ,3.8952,4.8164,1.14
1198347.9568,9.2,130255.2127,105337.656,855,,2.5397,21.8543,38.9488,2.7104,2.6873,1909308.7152,207533.556,20150901,000012.SZ,1.5414,1.906,0.68
1101959.0994,8.46,130255.2127,105337.656,840,,2.3354,20.0965,35.816,2.4923,2.4712,1755733.8838,207533.556,20150924,000012.SZ,0.9376,1.1594,0.8
140329.7367,14.3,9813.2683,9140.9177,2685,,5.8159,56.4882,,5.642,20.4987,192292.2788,13447.0125,20080131,000014.SZ,2.4257,2.6041,0.49
105590.7669,10.76,9813.2683,9140.9177,2635,,4.3762,42.5044,,4.2453,15.4242,144689.8545,13447.0125,20080418,000014.SZ,0.7497,0.8048,1.48
86552.0342,5.88,14719.7337,8931.6677,2530,,3.7795,529.389,,6.3636,7.5188,118602.65,20170.5187,20080922,000014.SZ,2.801,4.6161,2.29
69624.3404,4.73,14719.7337,8931.6677,2510,,3.0403,425.852,,5.119,6.0483,95406.5535,20170.5187,20081027,000014.SZ,0.7793,1.2842,0.57
61970.0789,4.21,14719.7337,13397.7078,2505,,2.8759,379.0353,,4.5562,6.0163,84917.8837,20170.5187,20081103,000014.SZ,0.3797,0.4172,0.52
336444.2519,16.68,20170.5187,12699.3501,880,,5.0788,55.3512,104.2416,6.5735,7.2942,336444.2519,20170.5187,20150728,000014.SZ,6.6936,10.6316,0.76
398972.8599,19.78,20170.5187,12699.3501,875,,6.0227,65.6383,123.6151,7.7953,8.6498,398972.8599,20170.5187,20150804,000014.SZ,5.8213,9.2461,0.89
338864.7142,16.8,20170.5187,11689.3557,835,,5.0076,55.7494,67.274,6.6208,6.728,338864.7142,20170.5187,20151008,000014.SZ,3.1987,5.5195,0.94
295094.6886,14.63,20170.5187,11389.361,765,,4.4636,48.5484,63.4908,5.7656,6.2279,295094.6886,20170.5187,20160115,000014.SZ,3.6009,6.3772,1.36
216631.3708,10.74,20170.5187,10987.1741,290,,2.9369,75.7537,42.8296,3.4898,2.4692,216631.3708,20170.5187,20171226,000014.SZ,2.4859999999999998,4.5638,0.99
239364.09399999998,3.99,59991.001,28024.4438,2510,,1.3462,23.1967,21.0789,0.3948,0.4055,480385.1089,120397.2704,20080618,000016.SZ,2.8869,6.18,1.87
222566.6137,3.71,59991.001,28024.4438,2500,,1.2517,21.5689,19.5997,0.3671,0.3771,446673.8732,120397.2704,20080702,000016.SZ,0.8851,1.8947,0.47
308953.6552,5.15,59991.001,56953.7167,2045,,1.5836,41.0416,42.3322,0.4676,0.4157,620045.9426,120397.2704,20100521,000016.SZ,2.6376,2.7783,0.8
328153.4831,5.47,59991.496,107284.6868,820,,3.4683,250.2961,,0.6781,0.6596,1317146.1382,240794.5408,20150928,000016.SZ,29.9759,16.7619,1.12
847079.9235,7.06,119982.992,107284.6868,805,,4.4764,323.0512,,0.8752,0.8513,1700009.458,240794.5408,20151026,000016.SZ,11.3651,12.7103,0.55
787088.4275,6.56,119982.992,107284.6868,800,,4.8812,300.1722,,0.8132,0.7978,1579612.1876,240794.5408,20151102,000016.SZ,7.437,8.3172,0.7
535124.1443,4.46,119982.992,107284.6868,740,,3.3186,204.0805,,0.5529,0.5424,1073943.652,240794.5408,20160126,000016.SZ,3.1047,3.4722,0.78
496729.5869,4.14,119982.992,107284.6868,735,,3.0805,189.438,,0.5132,0.5035,996889.3989,240794.5408,20160202,000016.SZ,2.1124,2.3624,0.71
49581.792,6.46,7675.2,2750.0,3100,,165.8628,,,45.5642,48.0359,309713.7199,47943.3003,20011022,000017.SZ,1.0232,2.8558,0.81
30470.543999999998,3.97,7675.2,2750.0,3030,,15.1772,,,28.0015,29.5205,190334.9022,47943.3003,20020131,000017.SZ,1.4992,4.1842,0.52
19034.496,2.48,7675.2,2750.0,2320,,,,,12.0082,9.0762,118899.3847,47943.3003,20050128,000017.SZ,2.0599,5.7492,0.78
15810.912,2.06,7675.2,2750.0,2315,,,,,9.9746,7.5391,98763.1986,47943.3003,20050204,000017.SZ,2.63,7.3404,1.27
11819.808,1.54,7675.2,2750.0,2265,,,,,7.4567,5.636,73832.6825,47943.3003,20050426,000017.SZ,0.2515,0.7018,0.29
11359.296,1.48,7675.2,2750.0,2250,,,,,5.1346,5.3912,70956.0844,47943.3003,20050525,000017.SZ,0.9914,2.7671,0.94
59931.4526,5.16,11614.6226,11614.6226,1810,,,,,10.9041,11.065999999999999,284495.5407,55134.7947,20100525,000017.SZ,2.9419,2.9419,0.83
52900.1273,2.73,19377.336,19377.336,1435,,,23.3443,10.1869,5.0336,4.8578,150517.9895,55134.7947,20111230,000017.SZ,1.0206,1.0206,0.83
365389.94,12.06,30297.6733,23946.7986,845,,546.1095,1360.9688,1384.2068,31.354,31.9768,664925.6241,55134.7947,20150731,000017.SZ,2.6615,3.3673,0.47
361451.2425,11.93,30297.6733,23946.7986,840,,540.2228,1346.2984,1369.2858,31.016,31.6321,657758.1008,55134.7947,20150807,000017.SZ,2.2272,2.8179,0.73
248745.5603,8.21,30297.8758,23947.0011,805,,367.4304,926.497,1320.7762,21.3446,22.3049,452656.6645,55134.7947,20150929,000017.SZ,1.2373,1.5654,0.55
274801.7335,9.07,30297.8758,23947.0011,735,,401.9406,1023.5479,2456.5462,23.5805,26.3964,500072.5879,55134.7947,20160113,000017.SZ,2.7363,3.4619,1.18
18147.3864,8.97,2023.12,2023.12,3940,,4.9235,299.6558,473.1488,9.2649,10.3283,151720.6933,16914.2356,20020125,000018.SZ,1.4149,1.4149,0.82
