ts_code,closelow,closehigh,pe_ttmlow,pe_ttmhigh,pblow,pbhigh,turnover_rate_flow,turnover_rate_fhigh,ps_ttmlow,ps_ttmhigh,total_mvlow,total_mvhigh
300578.SZ,13.23,47.68,46.8509,220.0204,2.4871,14.8881,0.6777,48.5925,7.033,17.8898,175178.1654,426491.9658
300579.SZ,19.72,62.35,31.2655,59.2079,4.337,9.1451,0.7026,21.7379,4.2689,9.5951,236640,502800
300580.SZ,11.82,23.43,15.7847,35.2982,1.8266,3.7649,0.8378,39.1062,3.2513,7.591,236400,468600
300581.SZ,10.64,37.25,35.4321,69.5783,3.2354,6.0259,1.5052,26.5944,10.3858,18.9243,182752.64,336740
300582.SZ,9,18.24,40.6612,130.3408,1.8885,3.9837,0.5444,33.364,2.0334,5.0303,181020.8934,369546.245
300583.SZ,30.42,46.94,22.4601,60.541,1.8447,2.9663,0.6281,15.1796,2.9162,6.486,328501.525,506898.8029
300584.SZ,20.58,64.56,30.1165,90.9196,4.411,13.1865,0.8993,15.2606,3.6376,12.5116,246960,679440
300585.SZ,8.19,19.64,23.2477,52.6847,2.8836,7.226,1.1122,29.6986,3.4721,7.823,132487.173,314240
300586.SZ,10.1,41.89,43.0316,88.3529,3.831,9.1076,0.5511,61.4582,4.3854,10.1275,220800,503520
300587.SZ,15.11,30.48,23.0315,49.2123,1.8068,3.6042,0.5145,31.1246,3.7231,8.3146,160921.5,324581.52
300588.SZ,9.39,36.3,24.4022,108.3105,4.2045,9.722,1.6856,47.8205,1.8761,5.0029,150240,363000
300589.SZ,10.61,30.73,47.5217,127.7213,5.3752,12.626,2.0332,64.7866,3.9192,9.3274,166865.751,385334.82
300590.SZ,18.7,43.25,29.0878,56.0548,3.8205,8.0816,2.0623,42.9269,7.3572,15.2158,299200,698444.25
300591.SZ,5.15,9.26,44.1871,88.4,3.4293,6.5459,0.4541,18.0605,2.3815,5.4181,160680,288912
300592.SZ,8.41,18.55,22.0424,76.8347,2.0244,4.703,0.5171,17.5094,1.9649,4.2159,102922.5051,227016.9405
300593.SZ,13.83,26.81,38.7881,83.9169,2.7968,5.6239,0.4244,14.8831,4.0698,8.7883,159791.82,309762.74
300595.SZ,30.45,76.16,38.7425,64.6988,7.0201,12.5745,0.496,8.9892,18.6262,31.1876,565752.6499,1220595.409
300596.SZ,15.08,34.4,23.2274,38.855,3.1215,5.7756,0.4747,15.3863,2.492,4.4576,271440,619200
300597.SZ,11.5,22.54,59.9281,130.8273,3.7569,7.4283,1.7184,55.3151,6.2529,12.6745,276000,540960
300598.SZ,18.6,54.92,37.9579,157.5386,3.2694,9.7782,0.5711,45.9716,2.9724,9.0389,148800,439360
300599.SZ,9.29,14.43,14.7505,33.7785,2.1494,3.5288,0.4922,25.049,1.6034,2.8549,282416,438672
300600.SZ,15.5,47.56,23.9765,45.4761,2.5365,5.3588,0.3387,9.5011,6.2305,11.5171,256960,475600
300601.SZ,28.19,97,41.4248,155.8726,10.513,35.8623,0.1242,26.7807,9.6428,32.576,1573807.654,4620882.965
300602.SZ,41.1,46.6,51.6589,58.5719,7.3132,8.2918,5.9721,11.2035,6.3303,7.1774,839245.56,951553.36
300603.SZ,20.75,48.63,31.8986,104.8328,1.6132,12.291,1.3054,40.8119,2.7597,9.018,214020,498457.5
300604.SZ,24.86,75.24,52.0219,171.3923,6.2616,16.309,1.2519,21.2634,14.6679,32.6521,273481.13,725680.813
300605.SZ,14.2,38,34.1793,73.1696,3.3251,7.1862,1.024,46.2899,3.5129,7.9041,156185.7915,319200
300606.SZ,13.5,34.29,21.1402,54.4605,2.4852,6.879,0.3136,31.0189,3.6371,12.1133,120420,305866.8
300607.SZ,28.8,71.31,23.0188,66.2664,4.328,12.176,0.4945,10.5354,3.3919,12.976,375673.2134,930182.5295
300608.SZ,14.05,34.3,24.5426,46.8571,2.424,4.744,0.9166,31.5562,1.9593,4.1597,149095.509,303320.045
300609.SZ,20.7,46.41,33.5295,71.4739,4.4614,9.4766,0.7816,28.3102,9.5997,19.5221,209032.74,468286.182
300610.SZ,10.65,17.18,21.1976,35.7866,2.3356,3.8681,0.6405,25.3856,2.1036,3.7175,160476.33,257700
300611.SZ,7.97,19.01,31.6074,92.0423,2.1346,4.9719,0.9201,54.7982,2.7656,8.2057,142623.5884,340184.9956
300612.SZ,13.36,57.46,44.4759,230.3588,4.9653,12.8812,0.8233,60.4827,4.5923,13.1388,216432,620568
300613.SZ,82.1,209.91,42.9,103.0647,3.7407,9.5959,0.934,19.3905,8.0942,24.1376,372043.539,951226.0569
300615.SZ,13.57,37.52,49.3574,217.3438,3.7985,7.5059,1.6379,56.5989,7.2354,15.1234,168000,348269.9
300616.SZ,56.31,227.98,23.9539,64.5619,3.9719,10.2451,0.2468,3.5594,1.7555,4.5131,1118759.197,2541398.58
300617.SZ,17.85,52,21.2009,44.779,2.169,4.4094,0.3669,26.1472,4.8405,10.1926,178508.925,346684
300618.SZ,60.69,331.5,13.8893,112.7294,6.5181,38.5469,2.53,22.613,4.3625,33.7958,1165248,3978000
300619.SZ,22.47,46.7,32.2244,69.512,3.6699,8.5606,0.8006,26.1985,2.6145,8.9467,167805.96,348755.6
300620.SZ,28.1,48.35,36.0819,63.862,5.3931,8.964,1.5318,24.3574,11.2528,17.0395,247280,435953.225
300621.SZ,8.88,23.78,19.2695,44.9262,2.1364,4.1307,0.4906,34.2207,0.7948,1.7649,185131.572,329640.738
300622.SZ,14.84,26.26,22.7379,46.1336,2.7824,5.1306,0.6764,16.0876,2.5409,4.9281,129122.84,225310.8
300623.SZ,22.06,78.03,24.1833,50.667,3.0269,5.9834,1.8117,21.8474,7.6546,16.9533,396512.308,730360.8
300624.SZ,23.83,152.45,30.029,170.8264,3.4891,22.3213,0.007,72.5437,5.1779,26.1016,190640,1219600
300625.SZ,12.88,26.73,13.8163,27.8485,1.8,3.5184,0.3202,7.3966,1.5168,3.2523,360640,748440
300626.SZ,7.5,28.97,23.8405,50.6704,2.648,6.1615,0.1764,10.2956,1.5428,3.5633,135000,289700
300627.SZ,15.38,62.38,27.5936,59.5612,4.5818,9.944,0.8763,29.9353,4.3238,11.3392,379186.21,768973.855
300628.SZ,57.05,152.73,24.3248,37.1925,5.4137,8.631,0.6731,8.5999,11.0398,16.7506,1483842.24,3040691.446
