,ts_code,closelow,closehigh,pe_ttmlow,pe_ttmhigh,pblow,pbhigh,turnover_rate_flow,turnover_rate_fhigh,ps_ttmlow,ps_ttmhigh,total_mvlow,total_mvhigh,close,closerate,pe_ttm,pe_ttmrate,pb,pbrate,turnover_rate_f,turnover_rate_frate,ps_ttm,ps_ttmrate,total_mv,total_mvrate
10,000012.SZ,3.87,9.19,14.1116,29.3446,1.2573,2.7355,0.1359,5.0489999999999995,0.9715,2.2288,1108088.277,2282931.596,7.76,73.1203007518797,,,2.7041,97.87579488567175,11.9965,241.40766522155056,1.7061,58.42678756064582,391544.9255,-60.99054571037655
11,000014.SZ,8.72,17.11,36.5686,431.3171,2.3708,4.638999999999999,1.5674,51.2926,2.1083,8.6798,175886.9231,345117.575,3.75,-59.2371871275328,,,1.5583,-35.821356141433746,3.4594,3.8049117952265656,0.7204,-21.119987826219276,1290569.1446,658.676314831356
12,000016.SZ,3.2,7.3,1.4355,65.3823,0.9643,5.7743,0.3527,18.0161,0.1893,0.6801,770542.5306,1757800.148,21.06,435.609756097561,53.7335,81.78360762383731,3.832,59.61954261954261,9.184,49.99773543032484,7.6821,1526.650366748166,312024.96,-46.443558653670614
13,000017.SZ,3.49,6.45,552.0595,2117.4917,119.2916,273.4446,0.4036,24.3676,13.3343,30.2558,192420.4335,355619.4258,9.54,204.39189189189185,28.4336,-33.44928640154456,1.8094,-76.21142631022428,1.6081,5.026289434151228,4.476,-52.34937801022367,390776.6691,121.5425615100443
14,000018.SZ,1.79,6.44,10.1299,26.2271,1.422,5.3538,0.4237,25.6035,0.6009,1.788,303985.857,1093669.787,4.76,63.870967741935466,20.6654,65.44927068061529,1.7421,8.141309323973754,10.5918,40.38197285125378,0.2925,-25.979277230224916,464614.08,20.340824587882903
15,000019.SZ,6.9,14.3,51.586999999999996,69.5281,1.1708,6.9892,0.8759,25.1968,11.49,33.2258,361160.7343,1002705.671,8.77,25.270270270270256,165.6412,635.7146440296303,6.8148,97.00261240203491,6.3902,22.67309186748846,2.4145,-41.75369666632929,336768.0,-3.802186394841204
16,000020.SZ,9.87,18.3,1724.0462,5971.8254,8.6402,16.1909,0.7261,30.9379,3.4369,6.2088,279480.131,518185.0454,15.37,65.24317912218267,46.6559,-39.48864150001017,3.8389,-63.587481955315404,26.5248,85.3927935442443,3.5094,2.6155344709405024,2120633.295,771.3092831070761
17,000021.SZ,4.91,11.73,15.4543,45.4278,1.2299,2.9701,0.4458,21.8335,0.4725,1.1336,722388.3472,1725787.233,2.96,-28.592375366568916,,,1.4563,13.009998850706811,12.6594,57.10571964259831,2.6133,323.82392981394645,1340751.8261,61.62688514518181
18,000023.SZ,9.99,21.58,57.2073,345.6318,3.4130000000000003,7.2013,0.4994,28.6581,1.0563,2.6074,138617.4838,299435.9659,6.27,-32.096635030198456,28.6446,-9.903007546168926,2.4002,-26.734947073885394,4.2295,13.246705281138688,1.6959,41.23525240152149,1280942.7994,710.3196726416556
19,000025.SZ,24.34,44.34,106.0782,316.9928,7.2424,14.0677,1.4356,38.6548,18.1146,40.9538,723583.4144,1318146.614,11.07,-66.34999999999998,20.0435,-40.79124915961246,3.0084,-62.033903271651056,4.4086,7.987812741810678,1.4422,-72.9990542575922,479220.3,-41.09960296304891
