ts_code,closelow,closehigh,pe_ttmlow,pe_ttmhigh,pblow,pbhigh,turnover_rate_flow,turnover_rate_fhigh,ps_ttmlow,ps_ttmhigh,total_mvlow,total_mvhigh,close,closerate,pe_ttm,pe_ttmrate,pb,pbrate,turnover_rate_f,turnover_rate_frate,ps_ttm,ps_ttmrate,total_mv,total_mvrate,mv,mv_low,mv_high
002661.SZ,11.66,64.02,22.5483,86.099,1.7989,7.6067,0.2445,24.2819,1.5054,3.681,266411.3095,696375.533,15.76,7.830404889,27.7479,8.18181389,2.3256,9.068838459,4.7051,18.55691547,1.8317,14.99816143,523122.1496,59.70516291,,,
002662.SZ,3.19,22,6.4052,78.4816,0.9544,3.8907,0.3095,43.5424,0.8371,6.4355,478500,1650000,5,9.622541201,74.4608,94.42147499,1.4468,16.76940367,4.4765,9.638492907,1.3871,9.824235496,750000,23.17541613,,,
002663.SZ,2.32,38.53,20.4001,166.5272,0.806,6.9202,0.0538,28.8575,1.144,8.0746,416646.5849,2513978.953,3.34,2.816901408,152.8024,90.60762856,1.1727,5.997513984,2.2056,7.470568017,1.604,6.637231986,599827.411,8.733991278,,,
002664.SZ,10.15,56.38,15.4437,112.7526,1.9924,15.969,0.1834,32.6446,1.531,13.3059,406020.3,2100105,14.45,9.30131949,22.2172,6.9608227,2.6731,4.870283188,3.8994,11.44751272,2.1972,5.657797518,578028.9,10.15348288,,,
002665.SZ,2.3,77.4,46.436,194.2563,0.7943,13.2701,0.0653,43.1558,7.7187,24.5675,583905.7695,3181549.646,3.64,1.784287617,,,1.397,4.830952724,5.0121,11.4800246,14.8911,42.56920374,924094.3483,13.09604376,,,
002666.SZ,3.37,40.69,16.0871,91.6645,0.8813,6.0271,0.2698,26.7003,0.6855,8.4831,254208.9633,1534682.896,5.26,5.064308682,24.9765,11.76198176,1.3282,8.684752614,7.6905,28.07627552,1.0574,4.769416231,396777.195,11.13402062,,,
002667.SZ,5.52,84.48,22.4774,1113.213,1.6578,14.8539,0.0642,51.4889,5.7601,59.5942,127584.864,1148590.08,8.33,3.558763931,155.582,12.20319571,2.5076,6.439781451,4.7417,9.095823602,10.4072,8.632260965,192532.956,6.361191009,,,
002668.SZ,3.24,118.25,9.9438,83.398,0.9405,11.6984,0.0195,47.3106,0.4469,4.2556,276630.55,1955263.75,6.45,2.791061647,,,2.8277,17.54245717,14.2016,29.98894084,0.8911,11.66277207,699251.8711,25.17651391,,,
002669.SZ,9.58,33,26.3419,190.0772,1.2201,9.4767,0.1426,31.7575,2.7427,12.3587,214900,743859.0565,14.16,19.5559351,44.1634,10.88433588,1.7808,6.790930892,5.8038,17.9067465,3.8513,11.52870216,357529.9761,26.96427528,,,
002670.SZ,8.21,41.91,18.7417,1481.3693,1.3502,10.7779,0.0771,35.4091,1.1785,8624.8809,178600,3498309.402,13.39,15.37091988,,,2.271,9.76696331,10.7458,30.19557342,21.4659,0.235251625,2591078.35,72.67137144,,,
002671.SZ,3.88,23.89,18.2033,1805.1156,0.8697,7.3925,0.0988,32.7372,1.5563,13.2807,183307.4859,1059989.261,5.9,10.09495252,,,1.3902,7.979701968,12.6178,38.35665964,2.7895,10.51823547,278740.7647,10.88573773,,,
002672.SZ,9.74,75.76,16.6243,98.4023,2.1724,10.4639,0.099,16.8544,2.5319,12.0823,864035.4993,2634984.627,12.64,4.392608301,27.4442,13.23082002,2.7775,7.297835132,1.4583,8.112608472,3.4011,9.101189479,1121294.529,14.52661884,,,
002673.SZ,6.83,79.5,19.0082,213.1993,1.3543,10.3336,0.4925,28.2278,7.7907,48.8853,2391756.563,11419901.9,12.18,7.362047612,213.1993,100,2.4572,12.28269464,15.2726,53.28985084,19.0465,27.38997338,4265240.84,20.75159634,,,
002674.SZ,6.31,27.12,21.992,686.5219,0.8534,4.1613,0.0971,27.0725,0.9657,2.9147,190613.8442,657600.336,12.99,32.09995195,33.9039,1.792530329,1.6946,25.43003114,4.5939,16.67000304,2.1718,61.88301693,392404.7284,43.21128935,,,
002675.SZ,7.01,68.06,24.4089,147.6941,1.4208,10.3077,0.0107,36.8593,2.7977,17.0499,249350.4,1382762.557,12.9,9.647829648,36.9029,10.13422536,2.4735,11.84552544,1.3513,3.638130078,4.4361,11.49576907,1034856.481,69.30453989,,,
002676.SZ,2.54,48.01,41.0921,22103.7828,1.7325,12.6848,0.0963,34.6307,1.1144,11.7456,180480,1372000,3.85,2.881020453,469.3028,1.940881581,2.6753,8.608237539,4.5699,12.95404003,1.7052,5.557227782,277200,8.117362696,,,
002677.SZ,9.95,59.29,17.2887,84.4444,3.5325,13.2112,0.4727,39.9532,4.9277,25.0618,329400,1414261.599,13.06,6.30320227,22.3185,7.489758874,6.1786,27.33941542,4.1087,9.209609807,6.0229,5.439527965,843743.451,47.41097403,,,
002678.SZ,5.37,28.17,41.4858,195.6462,2.2855,14.2896,0.1189,24.7931,3.7105,18.3022,729418.0135,2693052,7.28,8.377192982,55.9535,9.384835535,3.0116,6.048766671,2.4299,9.366058474,5.0126,8.923566137,988857.1951,13.21219654,,,
002679.SZ,11.1,62.69,28.9162,656.6928,2.5835,12.3215,0.4393,46.6311,9.2321,60.8169,177510.4,869384.92,24.68,26.3229308,117.1025,14.04740158,7.6323,51.84637503,3.9033,7.499166519,34.4952,48.97392255,581845.808,58.44056925,,,
002681.SZ,3.32,91.3,15.0215,192.9784,1.0997,13.845,0.3998,44.4985,1.8505,26.3868,689565.257,3132694.73,5.17,2.102750625,,,2.0329,7.321914745,5.2096,10.90689748,2.9475,4.470926749,1067411.489,15.46566548,,,
002682.SZ,4.22,43.85,13.0703,442.3435,0.8565,8.6637,0.0812,24.2463,0.4123,4.0825,180128,912080,,,,,,,,,,,,,,,
002683.SZ,6.42,41.63,27.0462,187.3905,1.5333,5.2619,0.1377,18.1691,1.1882,3.0139,446446.7963,1045107.03,14.78,23.74325476,48.9095,13.63522121,3.4382,51.08888054,7.8382,42.70605721,2.2816,59.88935751,1045107.03,99.99999993,,,
002684.SZ,5.31,46.05,43.4503,3230.6937,1.3283,15.2504,0.0882,49.7334,0.921,25.0836,160926.432,1323873.576,8.36,7.486499755,,,9.3294,57.47049655,18.9298,37.95251102,4.0478,12.94066036,474324.9892,26.94865014,,,
002685.SZ,4.88,55.32,10.8477,988.7047,1.0544,15.8942,0.1262,37.6011,0.5645,22.1822,168800,1260000,6.67,3.548770817,21.6069,1.100283579,1.4516,2.676585938,1.6895,4.171592186,0.6757,0.514393298,672129.6575,46.1262516,,,
002686.SZ,5,35.3,14.9012,124.5996,1.4393,12.0387,0.0413,65.0388,1.4801,13.5284,221541.0105,960195.3,7.61,8.613861386,124.5996,100,2.1894,7.076815669,2.2211,3.353667449,2.2614,6.484732286,336125.345,15.51257958,,,
002687.SZ,4.41,22.18,19.6264,97.1648,1.5638,8.41,0.4231,33.7339,1.7916,11.713,156489.732,787061.736,7.02,14.68767586,22.2892,3.434169392,2.2476,9.988022553,9.1862,26.30708359,2.4797,6.935513133,249106.104,14.68767586,,,
002688.SZ,4.18,29.7,19.8934,81.2991,1.6658,6.7933,0.0215,30.5015,1.7235,6.7655,260754.48,814441.3377,5.61,5.603448276,21.8828,3.239764387,2.124,8.936128718,1.2,3.866469816,2.1878,9.208647362,356397.4965,17.27384625,,,
